"game_id","play_index","row_type","play_type","pos_team","def_pos_team","penalty_flag","penalty_yards_signed","penalized_team","penalty_no_play","penalty_declined","yards_gained","penalty_text","play_text"
"20251004_gwn0",75,"play","pass_incomplete","Carnegie Mellon","McDaniel",TRUE,0,"Carnegie Mellon; McDaniel",TRUE,FALSE,,"PENALTY CMU holding off-setting, PENALTY MCD pass interference off-setting, NO PLAY.","Joey McGinnis I pass incomplete to Brendan McCullo (Chris Wilson), PENALTY CMU holding off-setting, PENALTY MCD pass interference off-setting, NO PLAY."
"20251004_gwn0",90,"play","rush","McDaniel","Carnegie Mellon",TRUE,-10,"McDaniel",FALSE,FALSE,-5,"PENALTY MCD unsportmanlike conduct (Jayden Booker) 10 yards to the MCD10.","Jayden Booker rush for loss of 5 yards to the MCD20 (Jack Lawson), out-of-bounds, PENALTY MCD unsportmanlike conduct (Jayden Booker) 10 yards to the MCD10."
"20251004_gwn0",95,"penalty_no_play","penalty_no_play","Carnegie Mellon","McDaniel",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU false start (Conor Gaul) 5 yards to the MCD16.","PENALTY CMU false start (Conor Gaul) 5 yards to the MCD16."
"20251004_gwn0",122,"play","punt_with_return","Carnegie Mellon","McDaniel",TRUE,14,"McDaniel",FALSE,FALSE,,"PENALTY MCD personal foul 14 yards to the MCD14.","Lucas Bisazza punt 41 yards to the MCD27, Jacob Wagner return 1 yards to the MCD28, out-of-bounds, PENALTY MCD personal foul 14 yards to the MCD14."
"20251004_gwn0",126,"play","punt_no_return","McDaniel","Carnegie Mellon",TRUE,10,"Carnegie Mellon",FALSE,FALSE,,"PENALTY CMU holding (Jack Korzeniows) 10 yards to the CMU42.","Braden Fritz punt 39 yards to the MCD48, downed, PENALTY CMU holding (Jack Korzeniows) 10 yards to the CMU42."
"20251004_gwn0",129,"play","rush","Carnegie Mellon","McDaniel",TRUE,-10,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU holding (Rayce Thompson) 10 yards to the CMU46, NO PLAY.","Takashi Shaw rush for 10 yards to the MCD34 (Malachi Murphy), out-of-bounds, PENALTY CMU holding (Rayce Thompson) 10 yards to the CMU46, NO PLAY."
"20251004_gwn0",138,"play","pass_incomplete","McDaniel","Carnegie Mellon",TRUE,-10,"McDaniel",TRUE,FALSE,,"PENALTY MCD holding 10 yards to the CMU39, NO PLAY.","Jayden Booker pass incomplete to Grayson Wendel (Lucas Bishop), PENALTY MCD holding 10 yards to the CMU39, NO PLAY."
"20251004_gwn0",141,"play","pass_complete","McDaniel","Carnegie Mellon",TRUE,5,"Carnegie Mellon",FALSE,FALSE,8,"PENALTY CMU roughing the passer 5 yards to the CMU05.","Jayden Booker pass complete to Tony Villarosa for 8 yards to the CMU10 (Archie Lawler), PENALTY CMU roughing the passer 5 yards to the CMU05."
"20251004_gwn0",145,"play","field_goal_blocked","McDaniel","Carnegie Mellon",TRUE,5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU illegal participation 5 yards to the CMU06, NO PLAY.","Braden Fritz field goal attempt from 28 BLOCKED, recovered by CMU Barrett Schmitz, spot at CMU10 (blocked by Carter Sheets), PENALTY CMU illegal participation 5 yards to the CMU06, NO PLAY."
"20251004_gwn0",146,"penalty_no_play","penalty_no_play","McDaniel","Carnegie Mellon",TRUE,-5,"McDaniel",TRUE,FALSE,,"PENALTY MCD false start (Thomas Branch) 5 yards to the CMU11.","PENALTY MCD false start (Thomas Branch) 5 yards to the CMU11."
"20251004_gwn0",148,"play","rush","McDaniel","Carnegie Mellon",TRUE,-15,"McDaniel",FALSE,FALSE,1,"PENALTY MCD personal foul 15 yards to the MCD39.","Jacob Wagner rush for 1 yard to the CMU46 (Wayne Pirt), PENALTY MCD personal foul 15 yards to the MCD39."
"20251004_gwn0",150,"play","rush","McDaniel","Carnegie Mellon",TRUE,15,"Carnegie Mellon",FALSE,FALSE,8,"PENALTY CMU targeting (Paul Davis) 15 yards to the CMU32.","Angel Granado J rush for 8 yards to the CMU47 (Paul Davis; Josh Huffman), PENALTY CMU targeting (Paul Davis) 15 yards to the CMU32."
"20251004_gwn0",164,"play","pass_incomplete","McDaniel","Carnegie Mellon",TRUE,12,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU personal foul (Dom Sirianni) 12 yards to the CMU02, NO PLAY.","Angel Granado J pass incomplete to C. St. Germain, PENALTY CMU personal foul (Dom Sirianni) 12 yards to the CMU02, NO PLAY."
"20251011_t8bp",12,"penalty_no_play","penalty_no_play","Carnegie Mellon","Johns Hopkins",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU Delay Of Game (Salters,Jackson) 5 yards from JHU03 to JHU08. NO PLAY.","PENALTY CMU Delay Of Game (Salters,Jackson) 5 yards from JHU03 to JHU08. NO PLAY."
"20251011_t8bp",30,"penalty_no_play","penalty_no_play","Johns Hopkins","Carnegie Mellon",TRUE,-5,"Johns Hopkins",TRUE,FALSE,,"PENALTY JHU False Start (Pearson,Charlie) 5 yards from JHU48 to JHU43. NO PLAY.","PENALTY JHU False Start (Pearson,Charlie) 5 yards from JHU48 to JHU43. NO PLAY."
"20251011_t8bp",38,"play","rush","Johns Hopkins","Carnegie Mellon",TRUE,-5,"Johns Hopkins",TRUE,FALSE,,"PENALTY JHU Illegal Formation 5 yards from CMU14 to CMU19. NO PLAY.","No Huddle-Shotgun Schroeder,Geoff rush left for 6 yards gain to the CMU08 (Lawson,Jack) PENALTY JHU Illegal Formation 5 yards from CMU14 to CMU19. NO PLAY."
"20251011_t8bp",40,"play","rush","Johns Hopkins","Carnegie Mellon",TRUE,-10,"Johns Hopkins",FALSE,FALSE,8,"PENALTY JHU Holding (Bechtle,John) 10 yards from CMU04 to CMU14.","No Huddle-Shotgun Crotty,Cole rush left for 8 yards gain to the CMU04, End Of Play, 1ST DOWN, PENALTY JHU Holding (Bechtle,John) 10 yards from CMU04 to CMU14."
"20251011_t8bp",55,"play","pass_incomplete","Johns Hopkins","Carnegie Mellon",TRUE,15,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU Pass Interference (Ming,Ethan) 15 yards from JHU25 to JHU40, 1ST DOWN. NO PLAY.","No Huddle-Shotgun Harvey,Bay pass incomplete deep right to Crotty,Cole thrown to CMU35 PENALTY CMU Pass Interference (Ming,Ethan) 15 yards from JHU25 to JHU40, 1ST DOWN. NO PLAY."
